trajectory_id,trajectory_length,poly_avg_pos_error_m,poly_worst_pos_error_m,poly_avg_vel_error_ms,poly_worst_vel_error_ms,poly_final_pos_error_m,poly_final_vel_error_ms,nn_avg_pos_error_m,nn_worst_pos_error_m,nn_avg_vel_error_ms,nn_worst_vel_error_ms,nn_final_pos_error_m,nn_final_vel_error_ms,improvement_avg_pos,improvement_worst_pos,improvement_avg_vel,improvement_worst_vel
mj_traj_e0682.txt,95,1.320037,3.197808,5.985089,17.795140,1.059678,17.572965,0.087326,0.185054,0.105746,0.456941,0.185054,0.050178,15.12,17.28,56.60,38.94
mj_traj_e0369.txt,97,1.237873,4.328235,3.524982,17.893849,3.429465,17.893849,0.023424,0.049571,0.070087,0.393524,0.049571,0.010246,52.85,87.31,50.29,45.47
mj_traj_e0269.txt,95,0.586028,1.454888,3.638562,11.732060,1.175282,11.732060,0.037246,0.103190,0.069148,0.491824,0.089264,0.039483,15.73,14.10,52.62,23.85
traj_133.txt,99,1.151718,2.035485,4.987928,10.481370,1.979288,10.481370,0.036170,0.071072,0.035852,0.222300,0.029406,0.024593,31.84,28.64,139.13,47.15
traj_863.txt,99,0.305796,0.573099,2.537097,5.129228,0.433500,5.129228,0.003819,0.005836,0.005996,0.020090,0.004403,0.002215,80.08,98.20,423.11,255.32
traj_990.txt,99,6.115932,12.448180,3.888860,8.132921,1.104068,8.132921,0.067938,0.118295,0.040259,0.126153,0.116996,0.056040,90.02,105.23,96.60,64.47
mj_traj_e0068.txt,94,1.083584,3.202882,4.469981,12.100923,2.964180,12.100923,0.029188,0.053776,0.073311,0.321978,0.038244,0.017182,37.12,59.56,60.97,37.58
mj_traj_e1708.txt,93,1.229148,3.144000,4.260198,12.043657,1.720321,4.905906,0.093062,0.190569,0.065940,0.308896,0.190569,0.072991,13.21,16.50,64.61,38.99
traj_963.txt,99,1.538580,2.724267,5.139934,10.810228,1.576754,10.810228,0.108138,0.223185,0.040892,0.132154,0.223185,0.048215,14.23,12.21,125.70,81.80
traj_397.txt,99,0.630606,1.257214,0.727461,1.484153,0.151261,1.484153,0.097618,0.209173,0.022154,0.026665,0.209173,0.025118,6.46,6.01,32.84,55.66
traj_560.txt,99,2.024942,3.675100,3.533327,7.476056,3.170418,7.476056,0.051839,0.157700,0.035993,0.183199,0.157700,0.071838,39.06,23.30,98.17,40.81
mj_traj_e0485.txt,94,1.211848,3.903294,6.219753,13.931522,3.903294,9.828671,0.031770,0.100663,0.086179,0.490921,0.100663,0.038891,38.14,38.78,72.17,28.38
mj_traj_e1146.txt,92,0.870026,2.928464,5.542444,14.810345,2.828917,9.981613,0.050031,0.114878,0.103067,0.610701,0.112417,0.036223,17.39,25.49,53.78,24.25
