epoch,train_loss,val_loss,train_one_step,train_rollout,train_pose,eval_vel_mse,eval_pos_mse
1,3.9050649531254438,0.13822117587977778,2.7005727167115685,2.4084330292393026,0.00551412694219271,nan,nan
2,1.3963886970929136,0.08329533654128358,0.9323943492776526,0.9279345087757203,0.0005422042966970468,nan,nan
3,1.18866483987862,0.07321919662492328,0.8768916254138459,0.6234977960932581,0.00048558416689406254,nan,nan
4,1.4465842642970657,0.07160765642738647,0.8781938994800234,1.1367259669912313,0.0005477837710394053,nan,nan
5,1.2575185692866997,0.07056479755400479,0.8638621285765272,0.7872513287161523,0.0006156607065791799,0.01847548341725727,0.17750456288446168
6,1.0755669474935363,0.06973661872318443,0.8559674541336731,0.43914428994734506,0.0005476235131413055,nan,nan
7,1.1725263903418042,0.07082484244543061,0.8565695405652667,0.6318579985259627,0.0005570358469876583,nan,nan
8,1.3096227034238763,0.07019425686033084,0.8507222414089037,0.9177387277040057,0.0006217794241235416,nan,nan
9,1.2036326643024755,0.07212234564985678,0.8528307650271681,0.7015481434658422,0.0005563711784758898,nan,nan
10,1.2344040520584858,0.06443373665524423,0.8506645937906729,0.7674200488246815,0.0005887096165627452,0.011900935628521054,0.09741935583725873
11,1.2164124517000166,0.07269461151647613,0.8487732540514151,0.7352276475763667,0.0005072885844384042,nan,nan
12,1.375116885220157,0.07741714169574461,0.8468781934188702,1.056426231943874,0.0005119282386795675,nan,nan
13,1.1649526106115664,0.06389888812703297,0.8455304080642112,0.638797621414192,0.00046805808685341924,nan,nan
14,1.1109109398326933,0.06896807540916755,0.844208810005795,0.5333537745460024,0.0005051453850288719,nan,nan
15,1.2804879303171446,0.06757771488601706,0.8451552860252186,0.8706179527993163,0.00047368828937693636,0.011001812943817184,0.09825242508272523
16,1.2108491073255359,0.06205806197069433,0.8426798471834747,0.7362863479393629,0.0005222409288501154,nan,nan
17,1.091650277645893,0.061972247326564034,0.8398768614668561,0.5035019914620246,0.0004475578782097175,nan,nan
18,1.1418985599860452,0.06271394265970076,0.8385528902429125,0.6066466971532798,0.0004467235308057056,nan,nan
19,1.2043044612883156,0.06239248848232779,0.8389885708275051,0.7305697629133967,0.0006201667370122869,nan,nan
20,1.2376788447707388,0.06300617303991322,0.8369746342358031,0.8013480038072072,0.0006046825791590588,0.013119756635635178,0.1467974945881342
21,1.0842053984870559,0.06213990887761836,0.8359578236518177,0.49643516412846644,0.0006002539697962504,nan,nan
22,1.1548952142633842,0.06143739013983207,0.8353319400630762,0.6390575894411511,0.0006902130885685992,nan,nan
23,1.1667344659564642,0.06227181549578933,0.8343094027953087,0.664787972339145,0.0006216338338546353,nan,nan
24,1.1742577699026289,0.0651457534138115,0.8334556251858234,0.6815533124020368,0.0005096858708488553,nan,nan
25,1.1255131902511801,0.05987300482834291,0.832817999790672,0.5853388611643957,0.0005152325457606109,0.014724412835291816,0.14763518856964858
26,1.1549455357969944,0.060646304096671,0.8321439080368491,0.6455397932358772,0.0006349226660808735,nan,nan
27,1.143294703498803,0.05980136070949581,0.8313718750343397,0.6237858226239383,0.0005986317900484705,nan,nan
28,1.2088499761403293,0.06279154247507814,0.8309894416266479,0.7556680526907428,0.0005306302409222677,nan,nan
29,1.2004738559771027,0.06152734726888619,0.8303800432741729,0.7401299966973901,0.0005755964165185552,nan,nan
30,1.146290694197044,0.059542780226470866,0.8296946748726758,0.6331333447280209,0.0005876785413675387,0.01598773248061238,0.14456427772198804
31,1.1007147925401402,0.06071580503421179,0.8289303203816529,0.5435054906934897,0.0006339409084952846,nan,nan
32,1.1306546036179141,0.059347222189518246,0.8282216770410856,0.6048105223773571,0.0005532948693995865,nan,nan
33,1.1103212268587204,0.05967140960367208,0.8308674489452331,0.5588455667895299,0.0006197571045397892,nan,nan
34,1.1112143617235646,0.05860237145540174,0.8274490639245761,0.5674714355016174,0.0005923144946807505,nan,nan
35,1.274581724475613,0.06305907635523447,0.8267944187879316,0.8955182264714868,0.00056376370929311,0.016520278942148425,0.1519644231341817
36,1.1839151752044252,0.058640850113014654,0.8261861449067054,0.7154158624483914,0.0004218254777947314,nan,nan
37,1.2755567962472736,0.058915289076520105,0.8250319306926691,0.9009810806620553,0.0006870744190080635,nan,nan
38,1.1654647482094704,0.060043918516982056,0.8242658929346682,0.6823493207800302,0.0004842617929276302,nan,nan
39,1.1821061386075173,0.05808154912305277,0.8237596881663726,0.7166226266814255,0.0007022489934170958,nan,nan
40,1.1235808855883265,0.058348515931213915,0.82305243545945,0.6009933981406393,0.0006348268314142773,0.013071027128406661,0.14789822216641038
41,1.1297893243737214,0.060024452583062486,0.8222081718116413,0.6151153897057283,0.0004697233439913841,nan,nan
42,1.1361864276762181,0.05898781716240964,0.821664277479832,0.6289895241988194,0.0005483449692581864,nan,nan
43,1.0462636416482487,0.06298321526659267,0.8220842276909776,0.4483192574728256,0.00039598700731153965,nan,nan
44,1.1056719540107007,0.06069175615697794,0.8216102794842435,0.5680663623804656,0.0005706845540528159,nan,nan
45,1.1595134385500903,0.05960938254205292,0.8210761021770809,0.6768043422880093,0.0007027175441771263,0.009204894346326377,0.10747546900555832
46,1.2345997080369737,0.05985904841490283,0.8202626088463669,0.8286170131772529,0.0005720754275791355,nan,nan
47,1.129066746801622,0.06043624566366067,0.8207041402719892,0.6166706753936558,0.0005453795443445085,nan,nan
48,1.116109607384091,0.05644592659675122,0.8191443292587486,0.59390158098043,0.000289884774673595,nan,nan
49,1.0999624603405127,0.05871779113465587,0.8184930781582912,0.5628922507301898,0.00046504923475921493,nan,nan
50,1.1304405064633647,0.058892690280249994,0.8177129873497478,0.6254106168295303,0.00044404298933682423,0.006675904258287144,0.07383124861615627
51,1.0984820004323557,0.05779184952452,0.8171366096960311,0.5626606447094725,0.00030198058466389063,nan,nan
52,1.0693289175214094,0.05702534971469102,0.816262082806076,0.5060730693482779,0.0006064098353957469,nan,nan
53,1.117495006603982,0.0580984424116539,0.8158863595720733,0.6031450166385017,0.000723402733766248,nan,nan
54,1.214050743986753,0.06481005649482592,0.8153873165666201,0.7972782501630121,0.00048638264251829903,nan,nan
55,1.2368696618585708,0.06321166140192512,0.8146779168549537,0.8443258115398757,0.0005767308249460234,0.005216638668733307,0.05729380045432046
