epoch,train_loss,val_loss,train_one_step,train_rollout,train_pose,eval_vel_mse,eval_pos_mse
1,9.537760668303939,6.737035102864404,7.210379118675261,4.651497612752725,0.03265473219082571,nan,nan
2,9.212025397555992,6.731491722915941,7.065023574601528,4.290598452764071,0.034051621627113296,nan,nan
3,9.214973868316381,6.730838977205011,7.0632170345301235,4.300124388887766,0.03389275921971731,nan,nan
4,9.216081756994226,6.738769126862317,7.059396837306703,4.31005729988455,0.0331246854696071,nan,nan
5,9.198628717331022,6.7308934263077695,7.059863548087759,4.27424417057413,0.03286132205154514,5.22615824917881,8.788067168278724
6,9.201362486358262,6.771620080637065,7.065835047159609,4.2678915928259915,0.03163211399368728,nan,nan
7,9.194302825780106,6.7856390865382075,7.0643212912843385,4.256744262014075,0.032188431864680005,nan,nan
8,9.201700268396822,6.738089024154442,7.073305205351756,4.253603727667448,0.03186354969326735,nan,nan
9,9.205948864565853,6.773845742795113,7.074771345949155,4.25917649127669,0.031784867530327894,nan,nan
10,9.222210773104463,6.814118368085927,7.082017888451595,4.277213570116284,0.03172166462677025,4.508199305912763,7.232870214538882
11,9.21733153548157,6.85305851803363,7.090723795128208,4.250021634813896,0.03193810649670831,nan,nan
12,9.269523664083168,6.91394959561992,7.132693815073606,4.270375274058008,0.032843985878669324,nan,nan
13,9.276621105192763,6.889786842523054,7.12669760363843,4.2965722182571024,0.032747415106302635,nan,nan
14,9.258791414050378,6.922574303978176,7.125523827727485,4.263227692231711,0.03307380053142308,nan,nan
15,10.39567984750805,7.89037286728282,8.150548349235903,4.486269356175537,0.039936230453010486,3.2186871252674893,5.004907093446254
16,11.6848583492812,7.901422193099675,9.330535216718241,4.703863451553243,0.04782770211989879,nan,nan
17,11.688300339661641,7.90319455967921,9.328303851531139,4.715205690398036,0.04787223975410698,nan,nan
18,11.687059943903344,7.889497374432421,9.328633815776056,4.7120669469699665,0.04785293082571054,nan,nan
19,11.698233094434984,7.890580889506879,9.32686745350542,4.737966685193769,0.047645123823101355,nan,nan
20,11.670680762694163,7.9113547726144215,9.328677978775124,4.67918994818563,0.04815652117744536,2.909299719999075,3.6613310584928933
21,11.68390095717127,7.892043148271515,9.327974767567575,4.7070419332863205,0.04810363065774092,nan,nan
22,11.678487831397801,7.894630822100549,9.3280497314107,4.696073760948272,0.04802345277336158,nan,nan
23,11.685832255931619,7.8990210489658645,9.32607682641334,4.714702198504348,0.04808542610314456,nan,nan
24,11.67096158851139,7.891370407223748,9.324401883206615,4.688338332345611,0.047810552863065854,nan,nan
25,11.689991181160824,7.892196294138402,9.326090248743684,4.723032026025137,0.04769712520924233,3.38848018795168,5.372099210340301
26,11.686233165330314,7.889994082683688,9.326000396294518,4.715664095603841,0.04801369645132989,nan,nan
27,11.679338556586437,7.8871883587215725,9.327061058075696,4.69977826443955,0.04776709765558613,nan,nan
28,11.690431279694371,7.890191360883618,9.324562416233483,4.726942299139516,0.047953866032471794,nan,nan
29,11.690563027201716,7.887381526503976,9.32696774412731,4.722414771092699,0.04775830746993642,nan,nan
30,11.678081591820803,7.901045091096782,9.324983910474623,4.701385453656073,0.0480979423699755,3.844043649182099,5.580283956489305
31,11.693420561577923,7.887055194564255,9.32466502916095,4.732750702956599,0.047602745057501644,nan,nan
32,11.682065818402275,7.893250367840873,9.324113203754898,4.711134747495827,0.04770410323439284,nan,nan
33,11.682371358517585,7.887206385371911,9.325775412624857,4.70839859591744,0.04793281424718537,nan,nan
34,11.682829754809472,7.8873357936614115,9.32504670151952,4.710769499414745,0.04796494054027194,nan,nan
35,11.685103979986401,7.88634374037528,9.324581835536419,4.716293598445123,0.04750653899550496,2.9911232650187305,5.317425825018137
36,11.675029968508856,7.887504147212279,9.324485561694662,4.696317473529599,0.047712615136512246,nan,nan
37,11.666176686961919,7.892670575295375,9.325885046348448,4.675783549478027,0.04799716598852697,nan,nan
38,11.683896609439572,7.891720148498071,9.323887488096746,4.71525186178717,0.0476629038590259,nan,nan
39,11.681886399094132,7.8862757663888745,9.323588603511244,4.711834193243378,0.047613786876860915,nan,nan
40,11.68150689929242,7.89234493393994,9.323659178194662,4.710925162543312,0.04770159324411624,2.6000701199652867,4.655716071044635
41,11.687818461184614,7.899714795871211,9.32330704659947,4.724260529716162,0.047622461166557925,nan,nan
42,11.675937616051042,7.895365680980182,9.32365822324328,4.699780324071876,0.04778438410214447,nan,nan
43,11.677612508226224,7.891705345063297,9.323630695914376,4.703195914121082,0.04767718475367318,nan,nan
44,11.683161090463265,7.8935689941452285,9.322242049295342,4.717093319904824,0.04744726417463414,nan,nan
45,11.669606300686143,7.897285511396803,9.323151087747197,4.688166784538106,0.04743513704701738,3.1214899702733696,4.322129911610322
46,11.678165435969804,7.888537775937366,9.32264657840892,4.70627435279783,0.04763358409584869,nan,nan
47,11.670826645006779,7.89501940878606,9.322181961696264,4.692561647429286,0.04727642628193869,nan,nan
48,11.680257645921701,7.8869213050184275,9.322530481277278,4.7107114155827565,0.0474290315377632,nan,nan
49,11.680270777528051,7.891045634321184,9.324278343579001,4.707255833845947,0.047290375852328786,nan,nan
50,11.67588902486514,7.89348652995616,9.323645849332753,4.6997592704760995,0.04727058184850345,2.756998303265277,3.7407903408861984
51,11.67887966287748,7.885171259945282,9.32234366007108,4.708369171450045,0.04702795563998722,nan,nan
52,11.65997014424429,7.886812307436537,9.321521300387845,4.672186362525798,0.04711345825927733,nan,nan
