epoch,train_loss,val_loss,eval_vel_mse,eval_pos_mse
1,7.97131518863399,5.6106114383486325,nan,nan
2,5.344883417871669,5.3676343806157165,nan,nan
3,5.241795886201615,5.334735034990477,nan,nan
4,5.220273796972515,5.320818547992018,nan,nan
5,5.210558943416302,5.313904050664381,8.587960164387004,1.441762709896073
6,5.205020854734417,5.309800970153201,nan,nan
7,5.201560703878437,5.307059468384488,nan,nan
8,5.199231753573862,5.305176511315238,nan,nan
9,5.197529818692233,5.303731051159629,nan,nan
10,5.196279027639722,5.302657342420069,9.554028796806856,1.420316472404341
11,5.19529730310813,5.301794944259833,nan,nan
12,5.194485431412869,5.301080935223659,nan,nan
13,5.193829321567949,5.3005224513052855,nan,nan
14,5.193242647732913,5.299930170899119,nan,nan
15,5.192722904828819,5.299512389542729,9.716610396258483,1.423768943324969
16,5.19231157637201,5.2991288277945,nan,nan
17,5.191969268576136,5.29882735082258,nan,nan
18,5.191672038385276,5.298544927265083,nan,nan
19,5.191388479971669,5.298253589538567,nan,nan
20,5.15184537215868,5.220046988500932,9.715435232344173,1.4213261101929038
21,5.098813532683814,5.215173712916633,nan,nan
22,5.09702735651552,5.211141954442011,nan,nan
23,5.095831881321222,5.204182223896399,nan,nan
24,5.094571199473094,5.208648414436978,nan,nan
25,5.093639055091191,5.204885767130494,9.408172882840248,1.429804890587153
26,5.092489334920222,5.208213407072252,nan,nan
27,5.091949181400905,5.195895184540027,nan,nan
28,5.091139959494678,5.223101787810992,nan,nan
29,5.090639403966211,5.207417117946902,nan,nan
30,5.090271599191979,5.195393762575848,9.547538541406244,1.438629816137112
31,5.089481125981164,5.203469418771965,nan,nan
32,5.089188727503304,5.19502719143679,nan,nan
33,5.089136038051735,5.201232305641068,nan,nan
34,5.089161765403189,5.193774060566914,nan,nan
35,5.088454529256841,5.187027747633086,9.571407404999906,1.4377672485614985
36,5.089270637874362,5.1945222593046845,nan,nan
37,5.089976715700958,5.18825652507027,nan,nan
38,5.088802690165246,5.203908872552609,nan,nan
39,5.088448618886529,5.188315543833953,nan,nan
40,5.088877349273167,5.200876264258125,9.55746923639561,1.4362274616717088
41,5.089696850580232,5.187921609856685,nan,nan
42,5.0898065526246,5.188190081944556,nan,nan
43,5.090380636816059,5.187768957379385,nan,nan
44,5.089930831195809,5.1886839489930505,nan,nan
45,5.089918713238747,5.200984255653025,9.488017212811336,1.4423155748820458
46,5.089716432625551,5.19373103439585,nan,nan
47,5.089966500171939,5.185776648684184,nan,nan
48,5.089732280390108,5.207459373391303,nan,nan
49,5.08969373056808,5.187741655964657,nan,nan
50,5.0890767128837116,5.2054637059014,9.397448427257613,1.4507756394600344
51,5.089162343425578,5.187115235720335,nan,nan
52,5.089342726108016,5.203798794829792,nan,nan
53,5.088814544308371,5.184786368675908,nan,nan
54,5.089620499287675,5.21924831145147,nan,nan
55,5.089452598277002,5.194395279599651,9.203462527652471,1.473962458529885
56,5.088452509590939,5.226283842311552,nan,nan
57,5.089288516372954,5.188575744168805,nan,nan
58,5.087933621757642,5.194764313716794,nan,nan
59,5.088873167678791,5.203415303534528,nan,nan
60,5.088627691682251,5.208836921433778,9.315223430903195,1.4661513612262214
61,5.088017564709554,5.216843563804953,nan,nan
62,5.088497030683573,5.194980181078761,nan,nan
63,5.087357332783839,5.208402876657825,nan,nan
64,5.0883334221658805,5.184713541246441,nan,nan
65,5.0879031839697655,5.185819797759723,9.237613812265698,1.475173513125223
66,5.088189545202768,5.186183733267802,nan,nan
67,5.088745392536068,5.201348748285884,nan,nan
68,5.088844514109761,5.194502976529921,nan,nan
69,5.088291607896396,5.185953421725567,nan,nan
70,5.087680104289494,5.2064892888256065,9.331544180752735,1.4348498345142746
71,5.087562088696823,5.203578968241338,nan,nan
72,5.087886191484178,5.204950980866377,nan,nan
73,5.088192074577926,5.184334914713915,nan,nan
74,5.088881727205489,5.214863073091112,nan,nan
75,5.087791850986137,5.2104950148440174,9.34977724548749,1.4429563267207224
76,5.088129784153513,5.2069651017990175,nan,nan
77,5.0881353816317905,5.187875410196591,nan,nan
78,5.088589907031195,5.199947784611549,nan,nan
79,5.088423661767227,5.203583600940642,nan,nan
80,5.08796118987,5.193939328898194,8.819134326619745,1.4092270807212068
81,5.088571082168878,5.185262777019994,nan,nan
82,5.088539734493549,5.213126543045274,nan,nan
83,5.087659692683763,5.209652413851446,nan,nan
