epoch,train_loss,val_loss,train_one_step,train_rollout,train_pose,eval_vel_mse,eval_pos_mse
1,0.23341962091912774,0.015152419078280558,0.08648948026767266,0.05821140603749337,0.001355617943398137,nan,nan
2,0.044175822605617664,0.011566528820467116,0.016298307273987636,0.008662189369778308,0.00015077873641738637,nan,nan
3,0.04087788597537894,0.011463237549428329,0.015392701954256327,0.007763537125899199,0.00012058845110179756,nan,nan
4,0.03854475172045077,0.012001713789434718,0.014955201224264848,0.007115643822242209,0.00010533108102455939,nan,nan
5,0.0374673528600176,0.010404992815203499,0.014627134752880445,0.006815724624976483,9.856631703060402e-05,0.0020299563770179775,0.06529648649911063
6,0.037932490106129146,0.011629602173795838,0.014688878574123982,0.006980031811978258,0.0001024249561991489,nan,nan
7,0.03620243109938764,0.010239788265360305,0.014249601280341778,0.0064796094228186975,8.909864931629754e-05,nan,nan
8,0.03537148560321015,0.012063760538264183,0.014336027166790659,0.006317156309124409,9.498002586594376e-05,nan,nan
9,0.03509417711975684,0.01000823997468751,0.014035961886602416,0.006178873791751526,8.256816778499457e-05,nan,nan
10,0.03491402320324443,0.009934666055918511,0.01395750557440702,0.00616075289605482,7.766480866508442e-05,0.0015844681429667468,0.028180797577577077
11,0.036347724245995736,0.011256054644966164,0.014180927263174202,0.006614526572077559,9.543618942078742e-05,nan,nan
12,0.03518252555887879,0.009687019131699372,0.013840190053298876,0.006239721065953254,8.023226863302027e-05,nan,nan
13,0.03371218044566172,0.010659326593874908,0.013658499575192374,0.005894206985742465,7.882051342490497e-05,nan,nan
14,0.033833968569304776,0.010732602534645514,0.013634345552239885,0.005886429242575936,7.472789694187679e-05,nan,nan
15,0.03428806092224484,0.009851605905090316,0.013719127639572263,0.006049113878831995,7.804967119721324e-05,0.0011429705564677723,0.022165141510800294
16,0.03444503931411988,0.01221274650692795,0.01365158736269732,0.006108434220421103,7.816147079629477e-05,nan,nan
17,0.03376100974763734,0.010286277444638127,0.01355125806023317,0.005917625146605429,7.516316117294248e-05,nan,nan
18,0.03353941392891855,0.010449062801845032,0.013512151947781196,0.005815779487527897,7.325517135149261e-05,nan,nan
19,0.033726021417282176,0.010686814710730913,0.01346748176258903,0.0058921352814354355,7.05979352819468e-05,nan,nan
20,0.033790221507052756,0.009543622115448631,0.013411196953480064,0.005966792684401104,7.659305505591571e-05,0.0010863524744859326,0.018574219845490722
21,0.03390486163411831,0.010080702542661657,0.013508653212022163,0.005933627727630518,7.500820940575982e-05,nan,nan
22,0.03399964123179114,0.009952123231352718,0.013471367242265971,0.005977748817400521,7.138781074880694e-05,nan,nan
23,0.032883303775436176,0.009941432536103372,0.01313070772375831,0.005631562509897291,6.756167930190714e-05,nan,nan
24,0.03348303925699608,0.010049278374122813,0.013323399827771431,0.00585004497131866,7.246006104465474e-05,nan,nan
25,0.032623552202089706,0.009933177660121171,0.01330088550557112,0.0056022405248004475,6.783366350752132e-05,0.0010460976056039003,0.014413588651238055
26,0.03143365008397269,0.009876256173996883,0.012976464324977238,0.005245719222728518,5.864159950845217e-05,nan,nan
27,0.03215479712197443,0.009526758079699433,0.0130811015076321,0.005494770916612301,6.471267862263714e-05,nan,nan
28,0.032402360088267114,0.010351304794524582,0.01308004062745803,0.005584068132790731,6.862144166393692e-05,nan,nan
29,0.03297726647421995,0.009640480380424319,0.013269058348164798,0.0057259886774312305,7.03311215328982e-05,nan,nan
30,0.03242569694677822,0.009621277059165018,0.013000778509634294,0.005538500192569881,6.607537842190408e-05,0.0011457381116000685,0.026823146418682837
31,0.03253664219474367,0.009497367535048935,0.012976607483001626,0.005557950156180843,6.409373636787398e-05,nan,nan
32,0.032373025568197225,0.009877964980950971,0.013061330183382777,0.0055577139347938185,6.94277634813619e-05,nan,nan
33,0.03235295788615981,0.010248375263048299,0.012939412187750141,0.00553310206671025,6.44597649028353e-05,nan,nan
34,0.03278113958649095,0.009632483722931236,0.013053598799152303,0.005687242757006172,7.210094301146887e-05,nan,nan
35,0.032542291215833206,0.0104552978458312,0.013016291600480621,0.005579878052016573,6.470444157451881e-05,0.0012630000854201493,0.02589778092468993
36,0.031966641196646814,0.010066282186221963,0.012988551448649664,0.0054844189761868115,6.428123661704946e-05,nan,nan
37,0.03203665692678625,0.009481096377304824,0.012961761129512115,0.0055095456435114406,6.578265293869106e-05,nan,nan
